INFO 2022-11-07 20:42:05 {'user': 'gregory.faupin', 'cart': 4968, 'order': 488, 'produit': 638, 'action': 'Create', 'field': 'qte', 'old_data': '', 'new_data': 1}
INFO 2022-11-07 20:42:05 {'user': 'gregory.faupin', 'cart': 4968, 'order': 488, 'produit': 638, 'action': 'Create', 'field': 'prix', 'old_data': '', 'new_data': 15.0}
INFO 2022-11-07 20:47:24 {'user': 'gregory.faupin', 'cart': 3494, 'order': 295, 'produit': 755, 'action': 'Delete', 'field': 'qte', 'old_data': 1, 'new_data': 0}
INFO 2022-11-08 10:26:36 {'user': 'gregory.faupin', 'cart': 4969, 'order': 489, 'produit': 329, 'action': 'Create', 'field': 'qte', 'old_data': '', 'new_data': 1}
INFO 2022-11-08 10:26:36 {'user': 'gregory.faupin', 'cart': 4969, 'order': 489, 'produit': 329, 'action': 'Create', 'field': 'prix', 'old_data': '', 'new_data': 15.0}
INFO 2022-11-08 10:26:36 {'user': 'gregory.faupin', 'cart': 4970, 'order': 489, 'produit': 1198, 'action': 'Create', 'field': 'qte', 'old_data': '', 'new_data': 25}
INFO 2022-11-08 10:26:36 {'user': 'gregory.faupin', 'cart': 4970, 'order': 489, 'produit': 1198, 'action': 'Create', 'field': 'prix', 'old_data': '', 'new_data': 5.0}
INFO 2022-11-08 10:26:36 {'user': 'gregory.faupin', 'cart': 4971, 'order': 489, 'produit': 1196, 'action': 'Create', 'field': 'qte', 'old_data': '', 'new_data': 25}
INFO 2022-11-08 10:26:36 {'user': 'gregory.faupin', 'cart': 4971, 'order': 489, 'produit': 1196, 'action': 'Create', 'field': 'prix', 'old_data': '', 'new_data': 5.0}
INFO 2022-11-08 10:26:36 {'user': 'gregory.faupin', 'cart': 4972, 'order': 489, 'produit': 1195, 'action': 'Create', 'field': 'qte', 'old_data': '', 'new_data': 60}
INFO 2022-11-08 10:26:36 {'user': 'gregory.faupin', 'cart': 4972, 'order': 489, 'produit': 1195, 'action': 'Create', 'field': 'prix', 'old_data': '', 'new_data': 5.0}
INFO 2022-11-08 10:26:36 {'user': 'gregory.faupin', 'cart': 4973, 'order': 489, 'produit': 1236, 'action': 'Create', 'field': 'qte', 'old_data': '', 'new_data': 31}
INFO 2022-11-08 10:26:36 {'user': 'gregory.faupin', 'cart': 4973, 'order': 489, 'produit': 1236, 'action': 'Create', 'field': 'prix', 'old_data': '', 'new_data': 5.0}
INFO 2022-11-08 10:26:36 {'user': 'gregory.faupin', 'cart': 4974, 'order': 489, 'produit': 1197, 'action': 'Create', 'field': 'qte', 'old_data': '', 'new_data': 20}
INFO 2022-11-08 10:26:36 {'user': 'gregory.faupin', 'cart': 4974, 'order': 489, 'produit': 1197, 'action': 'Create', 'field': 'prix', 'old_data': '', 'new_data': 5.0}
INFO 2022-11-09 09:45:07 {'user': 'gregory.faupin', 'cart': 4975, 'order': 490, 'produit': 602, 'action': 'Create', 'field': 'qte', 'old_data': '', 'new_data': 1}
INFO 2022-11-09 09:45:07 {'user': 'gregory.faupin', 'cart': 4975, 'order': 490, 'produit': 602, 'action': 'Create', 'field': 'prix', 'old_data': '', 'new_data': 15.0}
INFO 2022-11-09 20:46:03 {'user': 'gregory.faupin', 'cart': 4976, 'order': 349, 'produit': 1230, 'action': 'Add', 'field': 'qte', 'old_data': 0, 'new_data': 1}
INFO 2022-11-09 20:46:03 {'user': 'gregory.faupin', 'cart': 4976, 'order': 349, 'produit': 1230, 'action': 'Add', 'field': 'prix', 'old_data': '', 'new_data': 15.0}
INFO 2022-11-09 20:46:14 {'user': 'gregory.faupin', 'cart': 4977, 'order': 349, 'produit': 715, 'action': 'Add', 'field': 'qte', 'old_data': 0, 'new_data': 1}
INFO 2022-11-09 20:46:14 {'user': 'gregory.faupin', 'cart': 4977, 'order': 349, 'produit': 715, 'action': 'Add', 'field': 'prix', 'old_data': '', 'new_data': 15.0}
INFO 2022-11-09 20:46:26 {'user': 'gregory.faupin', 'cart': 4978, 'order': 349, 'produit': 719, 'action': 'Add', 'field': 'qte', 'old_data': 0, 'new_data': 1}
INFO 2022-11-09 20:46:26 {'user': 'gregory.faupin', 'cart': 4978, 'order': 349, 'produit': 719, 'action': 'Add', 'field': 'prix', 'old_data': '', 'new_data': 15.0}
INFO 2022-11-09 20:46:39 {'user': 'gregory.faupin', 'cart': 4979, 'order': 349, 'produit': 1216, 'action': 'Add', 'field': 'qte', 'old_data': 0, 'new_data': 1}
INFO 2022-11-09 20:46:39 {'user': 'gregory.faupin', 'cart': 4979, 'order': 349, 'produit': 1216, 'action': 'Add', 'field': 'prix', 'old_data': '', 'new_data': 15.0}
INFO 2022-11-09 20:46:51 {'user': 'gregory.faupin', 'cart': 4980, 'order': 349, 'produit': 735, 'action': 'Add', 'field': 'qte', 'old_data': 0, 'new_data': 1}
INFO 2022-11-09 20:46:51 {'user': 'gregory.faupin', 'cart': 4980, 'order': 349, 'produit': 735, 'action': 'Add', 'field': 'prix', 'old_data': '', 'new_data': 15.0}
INFO 2022-11-09 20:47:01 {'user': 'gregory.faupin', 'cart': 4981, 'order': 349, 'produit': 751, 'action': 'Add', 'field': 'qte', 'old_data': 0, 'new_data': 1}
INFO 2022-11-09 20:47:01 {'user': 'gregory.faupin', 'cart': 4981, 'order': 349, 'produit': 751, 'action': 'Add', 'field': 'prix', 'old_data': '', 'new_data': 15.0}
INFO 2022-11-09 20:47:21 {'user': 'gregory.faupin', 'cart': 4982, 'order': 349, 'produit': 792, 'action': 'Add', 'field': 'qte', 'old_data': 0, 'new_data': 1}
INFO 2022-11-09 20:47:21 {'user': 'gregory.faupin', 'cart': 4982, 'order': 349, 'produit': 792, 'action': 'Add', 'field': 'prix', 'old_data': '', 'new_data': 15.0}
